"Course","Section","FYI","Grade","Days_Attended_Math_Gym","Quiz_Zero_Score"
152,6,0,"A",5,21.75
150,9,0,"C",2,16
150,9,1,"W",0,6
151,11,1,"C",0,16.75
152,1,"Missing","D",4,5.25
155,4,0,"C",0,13
251,1,0,"A",0,25
152,14,"Missing","B",2,"Missing"
150,9,0,"C",0,19
150,1,0,"Missing",6,21
152,1,"Missing","D",1,21
251,5,"Missing","F",0,0
151,6,0,"B",2,13
151,11,0,"C",2,15
155,1,0,"A",4,15
152,1,"Missing","C",0,17.5
150,9,1,"C",0,12
152,6,0,"B",1,19.5
152,6,0,"B",2,18
151,1,"Missing","D",0,24
155,4,0,"D",1,8
251,5,"Missing","C",5,8
155,4,0,"D",1,0
150,5,"Missing","D",1,"Missing"
251,1,0,"A",0,22
251,5,"Missing","A",2,22
251,1,0,"B",1,7
152,1,"Missing","C",3,13
251,5,"Missing","A",1,14
152,1,"Missing","A",6,13
155,4,1,"F",5,8
151,11,0,"C",0,18
151,1,"Missing","C",0,10.25
151,1,"Missing","B",3,24.5
155,4,0,"B",6,15
150,5,1,"W",0,0
152,1,"Missing","W",2,8.75
151,11,1,"F",0,12.25
151,6,0,"C",0,14.75
152,6,0,"C",1,14.25
152,14,0,"A",5,13
151,6,0,"C",8,10.25
152,6,0,"A",0,16
251,1,0,"A",0,16
152,14,0,"B",3,4.75
151,1,"Missing","B",0,14.75
155,1,0,"A",0,19
155,1,0,"A",1,11
150,13,1,"W",0,5
155,4,0,"B",1,18
155,1,0,"D",0,11
151,1,"Missing","C",0,19.75
152,14,0,"C",1,4.5
155,4,1,"W",0,15
151,6,1,"W",1,10.25
155,4,0,"C",0,17
151,6,0,"B",0,11.25
151,11,0,"D",5,12.25
150,9,1,"W",1,13
155,1,0,"A",4,16
151,1,"Missing","C",1,12.75
155,4,0,"C",2,13
151,6,0,"D",0,9.5
155,1,1,"F",5,1
150,1,0,"Missing",0,15
155,1,0,"A",4,11
152,14,1,"D",0,5.25
155,1,"Missing","B",0,"Missing"
155,4,0,"B",2,17
152,1,"Missing","A",0,14.25
151,11,1,"F",2,11.5
155,1,1,"B",6,12
152,1,"Missing","C",0,8
251,5,"Missing","B",0,0
152,1,"Missing","D",0,14
251,1,0,"A",0,19
151,11,1,"F",6,15
152,14,0,"C",1,9.75
152,1,"Missing","D",3,2.75
151,11,0,"B",2,8.5
151,11,1,"C",0,23.75
150,1,0,"Missing",12,9
155,4,0,"D",4,5
151,1,"Missing","W",0,13.75
150,9,0,"D",3,9
152,6,0,"A",0,19.75
152,6,0,"A",0,13.25
152,14,0,"F",0,7.25
155,4,0,"B",2,15
251,1,0,"A",2,16
151,1,"Missing","A",17,9.25
155,4,"Missing","F",3,"Missing"
151,11,1,"F",0,9
151,11,1,"F",0,4.25
151,1,"Missing","B",0,0
152,6,0,"B",3,2
152,14,0,"B",0,13
151,11,0,"W",5,0.75
150,5,0,"B",0,14
151,6,1,"F",0,13
152,6,0,"C",0,13.5
151,1,"Missing","C",2,17.75
151,1,"Missing","A",8,10
150,13,0,"F",0,17
251,1,0,"A",1,10
152,6,0,"B",3,13.75
151,11,0,"C",5,4.75
151,11,0,"B",1,17.5
251,1,0,"B",0,10
151,6,0,"W",0,4
